=== TIME PROBES ===
Time probes,Node,Type,N,Avg,Std dev,Min,Max
Probe: Hub_preparation,Hub_preparation,Temps de traitement,239,1.000,0.000,1.000,1.000

=== OPERATOR MOVEMENTS SUMMARY STATISTICS ===
Operator,Route,Measurement_count,Average,Std_dev,Min,Max
Operator_2,Inflating_station_1→Inflating_station_2,188,5.000,0.000,5.000,5.000
Operator_2,Inflating_station_2→Inflating_station_1,188,5.000,0.000,5.000,5.000


=== DETAILED MEASUREMENTS ===
Measurement_#,Value_Probe: Hub_preparation
202,1.000
203,1.000
204,1.000
205,1.000
206,1.000
207,1.000
208,1.000
209,1.000
210,1.000
211,1.000
212,1.000
213,1.000
214,1.000
215,1.000
216,1.000
217,1.000
218,1.000
219,1.000
220,1.000
221,1.000
222,1.000
223,1.000
224,1.000
225,1.000
226,1.000
227,1.000
228,1.000
229,1.000
230,1.000
231,1.000
232,1.000
233,1.000
234,1.000
235,1.000
236,1.000
237,1.000
238,1.000
239,1.000


=== DETAILED OPERATOR MOVEMENTS ===

Operator: Operator_2
Measurement_#,Inflating_station_1→Inflating_station_2,Inflating_station_2→Inflating_station_1
1,5.000,5.000
2,5.000,5.000
3,5.000,5.000
4,5.000,5.000
5,5.000,5.000
6,5.000,5.000
7,5.000,5.000
8,5.000,5.000
9,5.000,5.000
10,5.000,5.000
11,5.000,5.000
12,5.000,5.000
13,5.000,5.000
14,5.000,5.000
15,5.000,5.000
16,5.000,5.000
17,5.000,5.000
18,5.000,5.000
19,5.000,5.000
20,5.000,5.000
21,5.000,5.000
22,5.000,5.000
23,5.000,5.000
24,5.000,5.000
25,5.000,5.000
26,5.000,5.000
27,5.000,5.000
28,5.000,5.000
29,5.000,5.000
30,5.000,5.000
31,5.000,5.000
32,5.000,5.000
33,5.000,5.000
34,5.000,5.000
35,5.000,5.000
36,5.000,5.000
37,5.000,5.000
38,5.000,5.000
39,5.000,5.000
40,5.000,5.000
41,5.000,5.000
42,5.000,5.000
43,5.000,5.000
44,5.000,5.000
45,5.000,5.000
46,5.000,5.000
47,5.000,5.000
48,5.000,5.000
49,5.000,5.000
50,5.000,5.000
51,5.000,5.000
52,5.000,5.000
53,5.000,5.000
54,5.000,5.000
55,5.000,5.000
56,5.000,5.000
57,5.000,5.000
58,5.000,5.000
59,5.000,5.000
60,5.000,5.000
61,5.000,5.000
62,5.000,5.000
63,5.000,5.000
64,5.000,5.000
65,5.000,5.000
66,5.000,5.000
67,5.000,5.000
68,5.000,5.000
69,5.000,5.000
70,5.000,5.000
71,5.000,5.000
72,5.000,5.000
73,5.000,5.000
74,5.000,5.000
75,5.000,5.000
76,5.000,5.000
77,5.000,5.000
78,5.000,5.000
79,5.000,5.000
80,5.000,5.000
81,5.000,5.000
82,5.000,5.000
83,5.000,5.000
84,5.000,5.000
85,5.000,5.000
86,5.000,5.000
87,5.000,5.000
88,5.000,5.000
89,5.000,5.000
90,5.000,5.000
91,5.000,5.000
92,5.000,5.000
93,5.000,5.000
94,5.000,5.000
95,5.000,5.000
96,5.000,5.000
97,5.000,5.000
98,5.000,5.000
99,5.000,5.000
100,5.000,5.000
101,5.000,5.000
102,5.000,5.000
103,5.000,5.000
104,5.000,5.000
105,5.000,5.000
106,5.000,5.000
107,5.000,5.000
108,5.000,5.000
109,5.000,5.000
110,5.000,5.000
111,5.000,5.000
112,5.000,5.000
113,5.000,5.000
114,5.000,5.000
115,5.000,5.000
116,5.000,5.000
117,5.000,5.000
118,5.000,5.000
119,5.000,5.000
120,5.000,5.000
121,5.000,5.000
122,5.000,5.000
123,5.000,5.000
124,5.000,5.000
125,5.000,5.000
126,5.000,5.000
127,5.000,5.000
128,5.000,5.000
129,5.000,5.000
130,5.000,5.000
131,5.000,5.000
132,5.000,5.000
133,5.000,5.000
134,5.000,5.000
135,5.000,5.000
136,5.000,5.000
137,5.000,5.000
138,5.000,5.000
139,5.000,5.000
140,5.000,5.000
141,5.000,5.000
142,5.000,5.000
143,5.000,5.000
144,5.000,5.000
145,5.000,5.000
146,5.000,5.000
147,5.000,5.000
148,5.000,5.000
149,5.000,5.000
150,5.000,5.000
151,5.000,5.000
152,5.000,5.000
153,5.000,5.000
154,5.000,5.000
155,5.000,5.000
156,5.000,5.000
157,5.000,5.000
158,5.000,5.000
159,5.000,5.000
160,5.000,5.000
161,5.000,5.000
162,5.000,5.000
163,5.000,5.000
164,5.000,5.000
165,5.000,5.000
166,5.000,5.000
167,5.000,5.000
168,5.000,5.000
169,5.000,5.000
170,5.000,5.000
171,5.000,5.000
172,5.000,5.000
173,5.000,5.000
174,5.000,5.000
175,5.000,5.000
176,5.000,5.000
177,5.000,5.000
178,5.000,5.000
179,5.000,5.000
180,5.000,5.000
181,5.000,5.000
182,5.000,5.000
183,5.000,5.000
184,5.000,5.000
185,5.000,5.000
186,5.000,5.000
187,5.000,5.000
188,5.000,5.000
